 Geographic Area ,July 1 2003,July 1 2002,July 1 2001,July 1 2000,Estimates base,Census 2000
West Virginia,1810354,1804884,1801641,1807326,1808350,1808344
Barbour ,15653,15551,15438,15545,15557,15557
Berkeley ,85272,81401,78680,76430,75905,75905
Boone ,25785,25688,25502,25511,25535,25535
Braxton ,14771,14782,14763,14713,14702,14702
Brooke ,24939,25063,25196,25371,25447,25447
Cabell ,95043,95519,95850,96667,96784,96784
Calhoun ,7294,7368,7416,7581,7582,7582
Clay ,10352,10394,10288,10339,10330,10330
Doddridge ,7491,7452,7449,7415,7403,7403
Fayette ,47270,47158,47227,47518,47579,47579
Gilmer ,7037,6998,7110,7163,7160,7160
Grant ,11434,11352,11344,11285,11299,11299
Greenbrier ,34656,34548,34429,34419,34453,34453
Hampshire ,21247,20963,20660,20317,20203,20203
Hancock ,31742,32024,32289,32622,32667,32667
Hardy ,12990,12831,12802,12691,12669,12669
Harrison ,68032,67929,68024,68583,68652,68652
Jackson ,28285,28248,28040,28054,28000,28000
Jefferson ,46270,44885,43411,42444,42190,42190
Kanawha ,195413,195884,197671,199672,200073,200073
Lewis ,17148,16911,16917,16876,16919,16919
Lincoln ,22251,22253,22171,22129,22108,22108
Logan ,36745,37004,36888,37581,37710,37710
McDowell ,25348,26072,26549,27166,27329,27329
Marion ,56484,56334,56266,56517,56598,56598
Marshall ,34897,35020,35294,35397,35519,35519
Mason ,26079,26037,26076,25964,25957,25957
Mercer ,62113,62092,61991,62943,62980,62980
Mineral ,27147,27126,27023,27037,27078,27078
Mingo ,27585,27710,27554,28030,28253,28253
Monongalia ,84370,83449,82715,81926,81866,81866
Monroe ,13503,13324,13247,13218,13193,14583
Morgan ,15514,15311,15223,15013,14943,14943
Nicholas ,26243,26337,26310,26553,26562,26562
Ohio ,45828,46278,46663,47334,47433,47427
Pendleton ,7896,7960,8079,8170,8196,8196
Pleasants ,7521,7616,7593,7505,7514,7514
Pocahontas ,8944,8946,8937,9107,9131,9131
Preston ,29705,29572,29290,29303,29334,29334
Putnam ,53035,52325,51730,51744,51589,51589
Raleigh ,79254,79148,78503,79081,79220,79220
Randolph ,28254,28376,28262,28212,28262,28262
Ritchie ,10515,10394,10341,10333,10343,10343
Roane ,15362,15303,15458,15469,15446,15446
Summers ,13917,13976,14214,14323,14389,12999
Taylor ,16127,16113,16104,16102,16089,16089
Tucker ,7162,7230,7215,7297,7321,7321
Tyler ,9439,9407,9523,9590,9592,9592
Upshur ,23668,23408,23349,23408,23404,23404
Wayne ,42418,42425,42768,42911,42903,42903
Webster ,9790,9746,9680,9698,9719,9719
Wetzel ,17160,17250,17313,17676,17693,17693
Wirt ,5790,5835,5890,5880,5873,5873
Wood ,87336,87642,87711,87891,87986,87986
Wyoming ,24830,24916,25205,25602,25708,25708
